tarea,metrica,one_stage,two_stage,n_remuestras,semilla,dif_observada_two_menos_one,dif_IC95_inf,dif_IC95_sup,one_IC95_inf,one_IC95_sup,two_IC95_inf,two_IC95_sup,segundos
deteccion,mAP@0.5:0.95,yolov8_det,faster_rcnn,2000,20260920,-0.12566480750122344,-0.15132363093146295,-0.09675961042459323,0.4677382367369259,0.5286478346866427,0.3439733802972293,0.4045276739894024,721.0
deteccion,mAP@0.5,yolov8_det,faster_rcnn,2000,20260920,-0.12218242825769832,-0.1593618849384638,-0.08419680409953847,0.6543647909587287,0.7310490752828144,0.5321532340623404,0.6126524818899279,721.0
segmentacion,mAP@0.5:0.95,yolov8_seg,mask_rcnn,2000,20260920,-0.08521921769794422,-0.10840517557806242,-0.06077077798053388,0.44231088741836655,0.4968739055480355,0.3514236318543796,0.41902988112085343,601.9
segmentacion,mAP@0.5,yolov8_seg,mask_rcnn,2000,20260920,-0.09106184893738734,-0.12541635761733422,-0.05543255019812771,0.6258643074948375,0.6950333637947886,0.5292144452460869,0.6121741921737898,602.0
