b,yolov8_seg_map5095,mask_rcnn_map5095,yolov8_seg_map50,mask_rcnn_map50
0,0.4700028219600407,0.38881145940398987,0.6739369811490223,0.5830065400009357
1,0.4925636342980226,0.4106392329146682,0.6835572656903891,0.5972652006153925
2,0.48074608382245787,0.3963963987918758,0.6658840367889739,0.5815898769619464
3,0.4683685499382663,0.390507876754131,0.6691307022346448,0.5796264701376883
4,0.48843572940200025,0.42069894748945325,0.6752202446360724,0.6165140556381856
5,0.48653097959258973,0.41354211075926917,0.6612311235713311,0.5914233952051153
6,0.48747293789670443,0.39797635621518945,0.6787758023824352,0.5961580361120109
7,0.4574575717796692,0.3711998160127047,0.6481605071725943,0.5458336256356382
8,0.48167623685796446,0.39428287387458694,0.6764145431356137,0.572078311021938
9,0.4793595421249547,0.3665848212796916,0.6627347385469663,0.5671048673202884
10,0.48107311110290407,0.41798992294629955,0.6763247687429311,0.6155830129447338
11,0.4866813153914423,0.4155981314553966,0.6802704605276175,0.6084043132855123
12,0.46412938920668356,0.37303898685089676,0.646483959002299,0.5426218655720754
13,0.45981027098607097,0.36510404663209234,0.652619590658408,0.5427204858653173
14,0.456361828964961,0.35805061225961,0.6399402285546159,0.5211421124435419
15,0.4705379852180183,0.389899548166226,0.649149372953894,0.5588548336346062
16,0.4658307944676327,0.3709168033722112,0.6712405187715856,0.5612107425414835
17,0.4644369798839193,0.38595707326632855,0.6349407008002118,0.552864868953003
18,0.43862465090343905,0.33951150032425037,0.6286626859759402,0.5163850914652608
19,0.48269142677772847,0.38981131771554833,0.6637402271617123,0.5747991206663444
20,0.46987432538104446,0.36355023855624335,0.6721564772973313,0.5565924288054191
21,0.47175674212826485,0.39202336136316834,0.6637499867606159,0.5709602769494535
22,0.48531695735778757,0.3841121477331669,0.6572910736532552,0.5621303214428066
23,0.4558651019372391,0.37195779599398865,0.6394546964178572,0.5390130088657696
24,0.4606341642773399,0.3670352934639765,0.6570386367000316,0.5604281331677713
25,0.46712530945073816,0.38613754125658595,0.657498190866807,0.5718708308049266
26,0.4686096830633991,0.40108120193063285,0.6657472650794092,0.5970554389058832
27,0.4651296744024545,0.3936374078372271,0.6543025680753123,0.5842512470256713
28,0.44891614390114765,0.3809135354643747,0.6289535262415643,0.547999645637971
29,0.4732078958007743,0.40467146441382523,0.6631736473684888,0.5765664208136186
30,0.48144623790605506,0.39175349850634794,0.6774930197551782,0.586478977937122
31,0.4723116076827564,0.3804894358299602,0.6577250638329292,0.5446275134307701
32,0.4718789823162819,0.39058623189661656,0.6616570581792494,0.5787685905884538
33,0.49098596805499495,0.38782205878730447,0.6789609539137135,0.5830521199217541
34,0.4825770580867755,0.4113946686413235,0.665378526561026,0.5953080742369726
