tarea,metrica,one_stage,two_stage,n_remuestras,semilla,dif_observada_two_menos_one,dif_IC95_inf,dif_IC95_sup,one_IC95_inf,one_IC95_sup,two_IC95_inf,two_IC95_sup,segundos
deteccion,mAP@0.5:0.95,yolov8_det,faster_rcnn,2000,20260920,-0.10368575567849242,-0.13150499886864234,-0.0735756614044305,0.4313861835461661,0.4957988949495695,0.3317142031213584,0.3916623585235694,130.1
deteccion,mAP@0.5,yolov8_det,faster_rcnn,2000,20260920,-0.10694790169671409,-0.14755529544587137,-0.0674576311275769,0.5856939875571181,0.6655429625827403,0.47585009647253235,0.5592988320989316,130.1
segmentacion,mAP@0.5:0.95,yolov8_seg,mask_rcnn,2000,20260920,-0.11651632541438689,-0.1467760026607959,-0.08685179730158667,0.43530695076043113,0.5017963492109256,0.317789812984314,0.38961327596196804,131.1
segmentacion,mAP@0.5,yolov8_seg,mask_rcnn,2000,20260920,-0.12577662671046197,-0.16672389074541671,-0.08600772765823439,0.5942201060500021,0.6788235728317451,0.4694857147686348,0.556934944705765,131.1
