b,yolov8_det_map5095,faster_rcnn_map5095,yolov8_det_map50,faster_rcnn_map50
0,0.48553902754252337,0.36746162208392774,0.6907320179863632,0.5645934753714807
1,0.513696449830618,0.39286623142631427,0.6988324880292203,0.5817703016877545
2,0.5067110981124598,0.38206292084372867,0.7060750659403822,0.5777616053586917
3,0.49065322227433433,0.3661212841087233,0.7021835392796489,0.5613476703467669
4,0.5110540754672568,0.4142208628807721,0.7021968536886325,0.6145955704753676
5,0.5263387047917654,0.40747409272307045,0.7262592554049493,0.6165706464240727
6,0.5237370034626397,0.3796515452329299,0.7339886536957486,0.5911367431959802
7,0.49602499137581085,0.38237180092285367,0.6777461739318331,0.5646858478375935
8,0.5112228915893391,0.39101063977771433,0.706294354980382,0.6062070695932572
9,0.5159294747982272,0.37679897202039275,0.7077708727819676,0.5749855353570027
10,0.5111136079377265,0.3882265769524837,0.720877361472211,0.597355711658589
11,0.5065373392675284,0.3861533366536652,0.6923643797600854,0.5826429437938909
12,0.4946295411484303,0.37361408304336347,0.673476554389971,0.5621202142461257
13,0.5016602885767278,0.3811889183911764,0.6815160689946204,0.5787512546687517
14,0.46523829181795656,0.34830014125196557,0.6491281510594119,0.5302198212528721
15,0.5057088630068505,0.3743484338867293,0.7153883582771361,0.5761703746637978
16,0.4923433099442121,0.371805604084024,0.684301043197074,0.5867492099439552
17,0.48757496116825083,0.34070767538527513,0.6859591338448381,0.537232145407758
18,0.4592551189871927,0.352590640670464,0.6534210900450915,0.5434478867412273
19,0.4926481172471185,0.36226029098620993,0.6877507701885006,0.5524099877135935
20,0.5221077734064297,0.3717807896305732,0.7284153871368982,0.5906276162061062
21,0.4977822785774664,0.3751851197501922,0.6934008713839954,0.5612751373959801
22,0.48889730287776956,0.35124415851845436,0.6782373571571012,0.5323810962271431
23,0.4891733248088512,0.34747338463310884,0.6887713848212521,0.5617636809717168
24,0.48904482036111624,0.3687073168933338,0.6734596856846028,0.5670493490313532
25,0.4829032778023768,0.3506847659249749,0.6771699854035369,0.5583859779656424
26,0.49957038517947183,0.38803498487370097,0.7058365073349767,0.6043183732679761
27,0.48649924833135844,0.38707978857530245,0.6754783872408596,0.585465025897324
28,0.48823536604466844,0.34687335328239954,0.6871557051208282,0.5344596583072487
29,0.5249372915716497,0.3699281064664329,0.7075145903715808,0.5714729089381789
30,0.49916791899008495,0.3682888854539851,0.7072892209071873,0.5748712619901215
31,0.48826444663542273,0.3743589684710163,0.6746527759693407,0.5576323257320773
32,0.5041174677482356,0.3843572354201288,0.7129561722386354,0.5791410299847752
33,0.5257344728476092,0.38187214645252016,0.7251564745320975,0.5884615805064086
34,0.5230679336711206,0.38615944994919904,0.7229167477911136,0.6021792662626233
35,0.49620772200802393,0.3812853734117822,0.6971237718336487,0.592688532727445
36,0.49747763209672063,0.38267496367662623,0.6973675692276817,0.5924175900411364
37,0.515036054772739,0.38737813295438817,0.705687651000294,0.5881601584112051
38,0.49434085157189306,0.3700765766260835,0.7077530737301505,0.5619860392508246
39,0.503506348477475,0.39747977148578006,0.6985997452249981,0.6156496782245078
40,0.5138876879075314,0.3977304812244999,0.6959038072054362,0.5918562302628257
41,0.4829012596053577,0.3651115123618291,0.6814386737393681,0.5760254253268459
42,0.4995122781632794,0.3753403924170766,0.6908514175631962,0.5677603928735542
43,0.4779598247428238,0.3604194377606596,0.6671385854528352,0.551828211866367
44,0.509945243664278,0.37350304164330117,0.7028800293333222,0.5678379121352886
45,0.5073685313174752,0.3825223323863533,0.6970649010424795,0.586733032673792
46,0.5121608462455469,0.3948420775199495,0.7071278510175847,0.5879593436010488
47,0.5138083864952301,0.397422932694128,0.7111461975845825,0.6144889982394729
48,0.4952293663554538,0.3789010818995042,0.6656975142139164,0.5863826823785799
49,0.48481720043545007,0.36097012278722773,0.6909681416801068,0.5665836288981623
50,0.5307484583397867,0.39808497557230715,0.7386623729347707,0.5919760847235008
51,0.5154082866458127,0.38758664772877194,0.70509334422031,0.5763912910463208
52,0.4967300887293841,0.3761223378764692,0.7190046983589984,0.5816879158780223
53,0.48385941871577426,0.3516639745657668,0.6873298941572761,0.5412501588846833
54,0.5086547894287807,0.3891868342583159,0.7059139446798147,0.6043770086334144
55,0.509389680711263,0.3870577610056651,0.7126543202389921,0.5892008123632706
56,0.5007999657666061,0.3882207275094741,0.6987049583594998,0.5876133667590745
57,0.48753533614734734,0.39352347007265953,0.661029939737107,0.5894933621884113
58,0.500318873764999,0.3799525191333266,0.6900201576636007,0.5830484642160897
59,0.47896009540842727,0.3572939267467981,0.6705940234712822,0.5658667589278243
60,0.484301843858951,0.37329058933231646,0.6705560824251808,0.5844304244586488
61,0.49338517515814906,0.3822489588366175,0.6800711805309053,0.5767877683837839
62,0.5088677554183358,0.39642955345186887,0.6964774505095686,0.6071824828976508
63,0.5067783173719509,0.38132591275330185,0.702546842021567,0.5838908047536168
64,0.4853230370225841,0.3614309907644479,0.6752961955159663,0.5577022621836943
65,0.4526562730377173,0.34880979594050565,0.641735369501331,0.5396474873671407
66,0.4894780997056427,0.3554357467531247,0.6783439841327035,0.5497827623639263
67,0.510478390392907,0.3853535402188378,0.707746415981314,0.570414517102972
68,0.48395929060378157,0.3585984957886057,0.6760912895705278,0.5638350935687165
69,0.49658283658161695,0.36802241396159646,0.6752387517139935,0.5480484548039105
70,0.5076027875944614,0.3683088828767032,0.6940875603956385,0.5735101178912386
71,0.48378736778337816,0.3722410882949919,0.6822534709503552,0.5714014709103282
72,0.5155434421127564,0.39085833036383827,0.7277322485412521,0.5963420846586454
73,0.49927890249670126,0.3734113077891386,0.6963772895960844,0.5687092725943099
74,0.527122659375302,0.4115306910123951,0.7080951623089562,0.6022524416626929
75,0.4709878945198351,0.3614729487960812,0.6662362766357836,0.5579331463519578
76,0.49039283109480647,0.371350522195659,0.6813697141103597,0.5563135998907146
77,0.4956351825746253,0.40812824946967374,0.6836159104953335,0.6094857557143873
78,0.47723217675111884,0.36807774201604904,0.6739825922900273,0.5685707685214343
79,0.4925299668150867,0.36423497289336204,0.6727769155414787,0.5450611924754509
80,0.5163560053459947,0.37643329072690557,0.7178314025142648,0.5757180892173595
81,0.5027272769930505,0.3430277940094854,0.719514936245951,0.5374260478358067
82,0.4749165101264342,0.35792851640193096,0.6725880421783385,0.5433301670339127
83,0.5019679973488932,0.3803267116593947,0.7092868875327663,0.5890797097080188
84,0.48223389881490425,0.36668451364887994,0.6725065751182132,0.5788893738598615
85,0.4918817986870928,0.3595100569668273,0.68495811306996,0.5535710490364694
86,0.5081990516215042,0.37158943811525696,0.6939144279791091,0.5762553776749656
87,0.4524156233984147,0.33794578796601943,0.6413879526626214,0.52921774369835
88,0.5199977856735338,0.3963396205507121,0.7056241904359604,0.5975870848487276
89,0.5055354323005442,0.38789309477072326,0.7105123797209278,0.5965745935058432
90,0.48545639309252303,0.35575606201666204,0.6617364814957749,0.5562591693150858
91,0.5126634468303793,0.37907443256306333,0.7101799812274404,0.5674910627194819
92,0.5050188386842447,0.4015131226857182,0.6911804732455561,0.5981316645762242
93,0.49866468114128804,0.38274070989504916,0.6995360002107915,0.5861043002633326
94,0.5238238596030131,0.3769830047866825,0.7253924485691645,0.5867603488583233
95,0.48751782043395303,0.3831822293830856,0.6713309124942958,0.5813131549931098
96,0.5160391126207546,0.3790840757379186,0.7187770742129068,0.5630438135911725
97,0.5069812337041322,0.3766259607400835,0.6842661957693855,0.5742772996177866
98,0.498510966628685,0.3828588092320973,0.6999363618963742,0.5916293798733467
99,0.5111743883731968,0.41909535891493815,0.688127812890056,0.6116934956610969
100,0.4941581420549447,0.37763211205673364,0.6849065961504585,0.5783714822614293
101,0.5061059564643722,0.37221108779490075,0.6942418660420748,0.5802061725593247
102,0.5039083387971588,0.36873171287592604,0.7122495325926391,0.5750462074795644
103,0.4953974537547789,0.3823376943432722,0.6675028832066986,0.5650029384561274
104,0.5352259403518708,0.39783838981695246,0.745557921620438,0.6135643859311115
105,0.5229981252688006,0.42464486836014737,0.7147396435653459,0.6152121809702287
106,0.48205623773542805,0.3627251905284864,0.6829848364069514,0.570861987479133
107,0.5125015927196981,0.37573302436780337,0.7069321572984051,0.589378260160121
108,0.4714969915847751,0.3608521403237199,0.6575350839008854,0.55349866939237
109,0.4746565855457558,0.3642104530101398,0.6668015744882748,0.5491666952113743
110,0.46937858255065085,0.3665547808000446,0.65089636198291,0.5596260250060796
111,0.46079004568798787,0.3403810426879976,0.6622393748516442,0.5249777596938592
112,0.5101459415338433,0.3675897766435145,0.7136530373080848,0.5777300435745119
113,0.4884479956479653,0.36367189896653296,0.6795210936480263,0.5687338922389273
114,0.4962903573182772,0.3678081403324242,0.6975710928248736,0.5545885244516958
115,0.49452028770802076,0.36741700550929085,0.6929302955789723,0.5548458995213302
116,0.50462046755916,0.3815443662308608,0.7159770466180188,0.5871441051548345
117,0.5062532564890075,0.380872445177589,0.712139410375198,0.5970130488899238
118,0.48056163760348636,0.37212796978005064,0.6858660910975124,0.5743267925875538
119,0.49635253874777496,0.37295795095152856,0.6883794788081005,0.5666033715711476
120,0.4974341174237382,0.3596679576091712,0.6948819541090783,0.5423672181100997
121,0.496099347784623,0.36594552773848255,0.6881987889635058,0.5720633309702211
122,0.4928532913332233,0.36112310628964567,0.6931356143868678,0.5539529731118364
123,0.5021879848684412,0.3934814779883592,0.701141990242746,0.5914547725109145
124,0.5087374129035526,0.3965618954197596,0.6890257119396564,0.6116012208627623
125,0.4788389029524098,0.3612933193216509,0.6612281482077487,0.5490205420294774
126,0.49450021815288303,0.3706372523097061,0.6743177421500602,0.5655424766246822
127,0.5085634817082911,0.39536432529026033,0.6961271177320121,0.5943556500719969
128,0.49404213583409556,0.3869906132012153,0.673668486465814,0.5917943527411426
129,0.4883541924038406,0.3686857354384157,0.6768836936363761,0.5723235381539151
130,0.5163575493555248,0.38571982265758215,0.7053938996665341,0.5808597742216621
131,0.511586191090249,0.39478659882305384,0.7098363787778932,0.5910529988399498
132,0.4863907780551842,0.3603215889853534,0.682687673914621,0.5485277482273102
133,0.5069733840111066,0.3769032239889576,0.6937249329668522,0.5892168758531643
134,0.5431801924350925,0.4162870000932131,0.7499506956939049,0.6294530701468404
135,0.501324291973858,0.3841739964540571,0.6980678437363649,0.5743578796756796
136,0.4745614462312019,0.3648785887659637,0.6761521158355167,0.5650872513888812
137,0.49746855579231214,0.38773102187059705,0.6832845437373757,0.5728092182496389
138,0.46866604166289483,0.35848107923582456,0.6605424791859119,0.5559668074857486
139,0.4748338989383211,0.33647877693938394,0.682317131763994,0.5368493154573313
140,0.47765970072347097,0.3713613389264646,0.6745498971975668,0.5718618114592128
141,0.4738464419081793,0.3424383904187272,0.6806142893185974,0.5261606570664723
142,0.501874180047465,0.36534904134916024,0.7130551732815644,0.5775051141453882
