tarea,metrica,one_stage,two_stage,n_remuestras,semilla,dif_observada_two_menos_one,dif_IC95_inf,dif_IC95_sup,one_IC95_inf,one_IC95_sup,two_IC95_inf,two_IC95_sup,segundos
deteccion,mAP@0.5:0.95,yolov8_det,faster_rcnn,2000,20260920,-0.10368575567849242,-0.13150499886864234,-0.0735756614044305,0.4313861835461661,0.4957988949495695,0.3317142031213584,0.3916623585235694,130.1
deteccion,mAP@0.5,yolov8_det,faster_rcnn,2000,20260920,-0.10694790169671409,-0.14755529544587137,-0.0674576311275769,0.5856939875571181,0.6655429625827403,0.47585009647253235,0.5592988320989316,130.1
