tarea,metrica,one_stage,two_stage,n_remuestras,semilla,dif_observada_two_menos_one,dif_IC95_inf,dif_IC95_sup,one_IC95_inf,one_IC95_sup,two_IC95_inf,two_IC95_sup,segundos
segmentacion,mAP@0.5:0.95,yolov8_seg,mask_rcnn,2000,20260920,-0.11651632541438689,-0.1467760026607959,-0.08685179730158667,0.43530695076043113,0.5017963492109256,0.317789812984314,0.38961327596196804,131.1
segmentacion,mAP@0.5,yolov8_seg,mask_rcnn,2000,20260920,-0.12577662671046197,-0.16672389074541671,-0.08600772765823439,0.5942201060500021,0.6788235728317451,0.4694857147686348,0.556934944705765,131.1
