epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3323.25,1.08155,2.06363,1.31156,1.2708,0.67241,0.64445,0.65746,0.51742,0.68046,0.63769,0.65013,0.4962,1.22207,2.23039,1.40425,1.36666,0.0004258,0.0004258,0.0004258
31,3433.71,1.07864,2.03572,1.30353,1.26893,0.6739,0.65051,0.66805,0.52014,0.66818,0.64174,0.66017,0.50428,1.23083,2.19792,1.41717,1.39179,0.000406,0.000406,0.000406
32,3543.04,1.07318,2.02094,1.29459,1.27076,0.67627,0.63029,0.66895,0.51776,0.66505,0.62697,0.65786,0.50564,1.23663,2.21437,1.42082,1.3955,0.0003862,0.0003862,0.0003862
33,3652.74,1.06147,2.02696,1.29466,1.26337,0.6957,0.63034,0.66601,0.53134,0.6719,0.63508,0.65608,0.5131,1.20253,2.16818,1.38193,1.36395,0.0003664,0.0003664,0.0003664
34,3763.53,1.05815,2.00979,1.26325,1.259,0.65111,0.65999,0.67081,0.53191,0.64927,0.65365,0.66599,0.51284,1.21078,2.2295,1.38067,1.37093,0.0003466,0.0003466,0.0003466
35,3873.59,1.03956,2.01119,1.23704,1.24953,0.69073,0.66572,0.67033,0.52817,0.6929,0.66684,0.66607,0.50548,1.22075,2.19937,1.39611,1.38426,0.0003268,0.0003268,0.0003268
36,3983.56,1.03796,1.97804,1.22339,1.24842,0.6676,0.64959,0.6726,0.54019,0.64119,0.66473,0.66067,0.51451,1.19275,2.22029,1.37795,1.36296,0.000307,0.000307,0.000307
37,4093.69,1.03343,1.9497,1.2116,1.23852,0.67016,0.68114,0.68662,0.54117,0.68842,0.65797,0.67854,0.51876,1.20781,2.18851,1.35515,1.36888,0.0002872,0.0002872,0.0002872
38,4203.85,1.02598,1.95725,1.19653,1.2377,0.66897,0.67285,0.67963,0.54177,0.69154,0.64701,0.67168,0.52069,1.19724,2.18719,1.34974,1.35939,0.0002674,0.0002674,0.0002674
39,4313.55,1.01981,1.93146,1.17149,1.22496,0.66822,0.67462,0.68519,0.54315,0.67622,0.65803,0.67842,0.52442,1.18021,2.16068,1.33201,1.35017,0.0002476,0.0002476,0.0002476
40,4424.1,1.00814,1.89813,1.14961,1.22345,0.69109,0.66026,0.69131,0.54107,0.69401,0.6565,0.68058,0.52338,1.20841,2.18776,1.34235,1.36562,0.0002278,0.0002278,0.0002278
41,4554.37,1.02664,1.88021,1.14719,1.26061,0.70707,0.66265,0.69079,0.54395,0.70342,0.66704,0.6814,0.52136,1.20301,2.19787,1.31348,1.37047,0.000208,0.000208,0.000208
