modelo,v6_ms,nuevo_B_operativo_ms
yolov8_det,28.048134225007907,
faster_rcnn,182.06525668459832,1549.3556142603352
yolov8_seg,27.86811871678546,
mask_rcnn,190.89404812856466,1529.3918258466615
